gid,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,seed_reach,neighbor_clusters,fast_matched_kzt,fast_share,fast_windows,pagerank,pass_through,pass_through_defined,truncated_by_depth,cluster_id,cycle_member,active_days,peak_day_share,role,role_score,role_stability,evidence,priority_turnover,priority_degree,priority_seed,priority_bridge,priority_fast,priority_cycle,priority_score,priority_evidence
100000000011452100,1,False,3,1,110000.0,16685.0,7,2,1,1,13685.0,0.12440909090909091,2,0.00048724516273984685,0.1516818181818182,True,False,0,True,7,0.2222222222222222,consolidator,0.75,0.6666666666666666,in=3/110000 KZT; out=1/16685 KZT; tx=7/2; d=1; сбор; выход 15% наблюдаемого входа,0.172857643775785,0.06735284889599069,0.05578858913022596,0.039397430255579034,0.012440909090909093,0.1,0.447837,Оборот 126685 (+0.173); связей 4 (+0.067); seed 1 (+0.056); внешних групп 1 (+0.039); 1–2д 12% (+0.012); цикл +0.10
100000000018102100,4,False,1,0,7000.0,0.0,1,0,1,0,0.0,0.0,0,0.00031863672801538335,0.0,True,True,0,False,1,1.0,peripheral,0.2,1.0,in=1/7000 KZT; out=0/0 KZT; tx=1/0; d=4; граница выгрузки; роль неизвестна,0.13025684098731208,0.029007293138962602,0.05578858913022596,0.0,0.0,0.0,0.215053,Оборот 7000 (+0.130); связей 1 (+0.029); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
100000000031787100,2,False,1,2,90000.0,90000.0,2,4,1,0,40000.0,0.4444444444444444,2,0.000428872133595658,1.0,True,False,1,True,6,0.16666666666666666,peripheral,0.4,0.6666666666666666,in=1/90000 KZT; out=2/90000 KZT; tx=2/4; d=2; недостаточно признаков других ролей,0.1780252305480589,0.058014586277925204,0.05578858913022596,0.0,0.044444444444444446,0.1,0.436273,Оборот 180000 (+0.178); связей 3 (+0.058); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 44% (+0.044); цикл +0.10
100000000041368100,1,False,1,0,160000.0,0.0,1,0,4,0,0.0,0.0,0,0.00031581583783131214,0.0,True,False,2,False,1,1.0,terminal,0.55,1.0,in=1/160000 KZT; out=0/0 KZT; tx=1/0; d=1; нет выхода в наблюдаемой выборке,0.1762924218837635,0.029007293138962602,0.12953709247559939,0.0,0.0,0.0,0.334837,Оборот 160000 (+0.176); связей 1 (+0.029); seed 4 (+0.130); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
100000000076451100,2,False,3,4,87707.0,58000.0,4,4,3,0,5000.0,0.05700799252055138,1,0.0013836360121798172,0.661292713238396,True,False,3,True,6,0.25,peripheral,0.4,1.0,in=3/87707 KZT; out=4/58000 KZT; tx=4/4; d=2; недостаточно признаков других ролей,0.17491574400297014,0.08702187941688781,0.11157717826045192,0.0,0.005700799252055138,0.1,0.479216,Оборот 145707 (+0.175); связей 7 (+0.087); seed 3 (+0.112); внешних групп 0 (+0.000); 1–2д 6% (+0.006); цикл +0.10
100000000089154100,1,False,1,15,10000.0,425500.0,1,21,1,5,0.0,0.0,0,0.0002858991665161169,42.55,True,False,0,True,10,0.22727272727272727,distributor,0.8,1.0,in=1/10000 KZT; out=15/425500 KZT; tx=1/21; d=1; рассылка многим получателям,0.19102375429467802,0.11856623283076556,0.05578858913022596,0.10184087983544891,0.0,0.1,0.567219,Оборот 435500 (+0.191); связей 16 (+0.119); seed 1 (+0.056); внешних групп 5 (+0.102); 1–2д 0% (+0.000); цикл +0.10
100000000190228100,2,False,1,1,5000.0,28560.0,1,1,3,0,0.0,0.0,0,0.000578557764282122,5.712,True,False,4,False,2,0.5,peripheral,0.4,1.0,in=1/5000 KZT; out=1/28560 KZT; tx=1/1; d=2; недостаточно признаков других ролей,0.15331506206793674,0.04597547187268181,0.11157717826045192,0.0,0.0,0.0,0.310868,Оборот 33560 (+0.153); связей 2 (+0.046); seed 3 (+0.112); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
100000000201868100,2,False,1,1,190000.0,190000.0,1,1,1,0,190000.0,1.0,1,0.0009675202955946184,1.0,True,False,5,True,2,0.5,transit,0.65,1.0,in=1/190000 KZT; out=1/190000 KZT; tx=1/1; d=2; вход≈выход; сценарий 1–2д 100% входа,0.18901817320430614,0.04597547187268181,0.05578858913022596,0.0,0.1,0.1,0.490782,Оборот 380000 (+0.189); связей 2 (+0.046); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 100% (+0.100); цикл +0.10
100000000254336100,3,False,2,1,97177.0,60000.0,2,1,2,0,60000.0,0.6174300503205491,1,0.0002903571631107785,0.6174300503205491,True,False,0,False,2,0.6666666666666666,peripheral,0.4,1.0,in=2/97177 KZT; out=1/60000 KZT; tx=2/1; d=3; недостаточно признаков других ролей,0.1760305322282244,0.058014586277925204,0.08842282173954807,0.0,0.06174300503205491,0.0,0.384211,Оборот 157177 (+0.176); связей 3 (+0.058); seed 2 (+0.088); внешних групп 0 (+0.000); 1–2д 62% (+0.062); цикл +0.00
100000000267734100,1,False,2,7,180000.0,282000.0,4,8,1,0,40000.0,0.2222222222222222,2,0.0005339010095272861,1.5666666666666667,True,False,1,True,8,0.25,distributor,0.8,1.0,in=2/180000 KZT; out=7/282000 KZT; tx=4/8; d=1; рассылка многим получателям,0.19189278901387724,0.09636014203495331,0.05578858913022596,0.0,0.022222222222222223,0.1,0.466264,Оборот 462000 (+0.192); связей 9 (+0.096); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 22% (+0.022); цикл +0.10
100000000274067100,1,False,2,3,517704.0,2969000.0,9,9,1,0,55000.0,0.1062383137854836,2,0.00041117339805887913,5.734937338710924,True,False,1,True,13,0.2222222222222222,peripheral,0.4,1.0,in=2/517704 KZT; out=3/2969000 KZT; tx=9/9; d=1; недостаточно признаков других ролей,0.22162779175900618,0.0749827650116444,0.05578858913022596,0.0,0.01062383137854836,0.1,0.463023,Оборот 3486704 (+0.222); связей 5 (+0.075); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 11% (+0.011); цикл +0.10
100000000287768100,3,False,1,0,35168.0,0.0,1,0,1,0,0.0,0.0,0,0.000287132336622892,0.0,True,False,0,False,1,1.0,terminal,0.55,1.0,in=1/35168 KZT; out=0/0 KZT; tx=1/0; d=3; нет выхода в наблюдаемой выборке,0.1540035865428245,0.029007293138962602,0.05578858913022596,0.0,0.0,0.0,0.238799,Оборот 35168 (+0.154); связей 1 (+0.029); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
100000000288317100,3,False,2,3,100000.0,53500.0,2,3,1,1,0.0,0.0,0,0.00031110423315319183,0.535,True,False,0,False,4,0.4,peripheral,0.4,1.0,in=2/100000 KZT; out=3/53500 KZT; tx=2/3; d=3; недостаточно признаков других ролей,0.17568227315953075,0.0749827650116444,0.05578858913022596,0.039397430255579034,0.0,0.0,0.345851,Оборот 153500 (+0.176); связей 5 (+0.075); seed 1 (+0.056); внешних групп 1 (+0.039); 1–2д 0% (+0.000); цикл +0.00
100000000291906100,2,False,2,2,388000.0,455854.0,3,6,1,1,8000.0,0.020618556701030927,1,0.00075795215011533,1.1748814432989692,True,False,6,True,7,0.3333333333333333,peripheral,0.4,1.0,in=2/388000 KZT; out=2/455854 KZT; tx=3/6; d=2; недостаточно признаков других ролей,0.20075547195241192,0.06735284889599069,0.05578858913022596,0.039397430255579034,0.002061855670103093,0.1,0.465356,Оборот 843854 (+0.201); связей 4 (+0.067); seed 1 (+0.056); внешних групп 1 (+0.039); 1–2д 2% (+0.002); цикл +0.10
100000000291908100,3,False,1,1,295500.0,13300.0,5,1,1,0,0.0,0.0,0,0.0007016679988486618,0.045008460236886635,True,False,6,False,6,0.16666666666666666,peripheral,0.4,1.0,in=1/295500 KZT; out=1/13300 KZT; tx=5/1; d=3; недостаточно признаков других ролей,0.185965783167265,0.04597547187268181,0.05578858913022596,0.0,0.0,0.0,0.28773,Оборот 308800 (+0.186); связей 2 (+0.046); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
100000000297649100,2,False,1,1,40000.0,70600.0,1,2,4,0,0.0,0.0,0,0.0008023949624002291,1.765,True,False,7,True,3,0.3333333333333333,peripheral,0.4,1.0,in=1/40000 KZT; out=1/70600 KZT; tx=1/2; d=2; недостаточно признаков других ролей,0.17086001824731178,0.04597547187268181,0.12953709247559939,0.0,0.0,0.1,0.446373,Оборот 110600 (+0.171); связей 2 (+0.046); seed 4 (+0.130); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.10
100000000299820100,4,False,1,0,10000.0,0.0,1,0,1,0,0.0,0.0,0,0.00044754836557757015,0.0,True,True,8,False,1,1.0,peripheral,0.2,1.0,in=1/10000 KZT; out=0/0 KZT; tx=1/0; d=4; граница выгрузки; роль неизвестна,0.13550359676243048,0.029007293138962602,0.05578858913022596,0.0,0.0,0.0,0.220299,Оборот 10000 (+0.136); связей 1 (+0.029); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
100000000307908100,2,False,1,0,5000.0,0.0,1,0,1,0,0.0,0.0,0,0.0002955134611674368,0.0,True,False,9,False,1,1.0,terminal,0.55,1.0,in=1/5000 KZT; out=0/0 KZT; tx=1/0; d=2; нет выхода в наблюдаемой выборке,0.12530751666392811,0.029007293138962602,0.05578858913022596,0.0,0.0,0.0,0.210103,Оборот 5000 (+0.125); связей 1 (+0.029); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 0% (+0.000); цикл +0.00
