cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,internal_share,top_sender_share,top_recipient_share,cross_kzt
0,277,1,31227334.240000002,100000000437046100;100000004400305100;100000002957787100;100000006866783100;100000005910114100,"Гипотеза: смешанная сеть переводов; 277 узлов; top-отправитель 21%, top-получатель 5% внутреннего оборота; внутренние переводы 72% от связанных с группой; seed=1. Назначение неизвестно.",0.717948229666639,0.20579172562761794,0.04915562078410699,12267910.89
1,56,1,10014014.02,100000005782781100;100000002894076100;100000007747786100;100000000267734100;100000000274067100,"Гипотеза: смешанная сеть переводов; 56 узлов; top-отправитель 33%, top-получатель 29% внутреннего оборота; внутренние переводы 80% от связанных с группой; seed=1. Назначение неизвестно.",0.8031942353173359,0.3327745490813683,0.28959416216195794,2453722.4
2,146,3,19519090.0,100000003684369100;100000008304139100;100000008748914100;100000008165763100;100000004847758100,"Гипотеза: смешанная сеть переводов; 146 узлов; top-отправитель 37%, top-получатель 15% внутреннего оборота; внутренние переводы 69% от связанных с группой; seed=3. Назначение неизвестно.",0.6897468722773847,0.36898820590509085,0.15109310936114337,8779827.74
3,41,3,4888834.279999999,100000004156082100;100000005339662100;100000004820260100;100000008188026100;100000000076451100,"Гипотеза: смешанная сеть переводов; 41 узлов; top-отправитель 44%, top-получатель 28% внутреннего оборота; внутренние переводы 90% от связанных с группой; seed=3. Назначение неизвестно.",0.895567500996277,0.4351254058053284,0.2806394983795606,570089.0
4,158,1,32434270.589999996,100000008547948100;100000008489922100;100000008547844100;100000008710791100;100000008466579100,"Гипотеза: смешанная сеть переводов; 158 узлов; top-отправитель 15%, top-получатель 8% внутреннего оборота; внутренние переводы 85% от связанных с группой; seed=1. Назначение неизвестно.",0.8516086980559744,0.15423809165427577,0.07717762584035963,5651614.0
5,4,0,460000.0,100000006069103100;100000000201868100;100000003192220100;100000006787636100,"Гипотеза: распределение от ведущего отправителя; 4 узлов; top-отправитель 59%, top-получатель 41% внутреннего оборота; внутренние переводы 92% от связанных с группой; seed=0. Назначение неизвестно.",0.922180033599429,0.5869565217391305,0.41304347826086957,38818.0
6,5,0,1189154.0,100000000291906100;100000004670388100;100000000291908100;100000004722630100;100000004691350100,"Гипотеза: распределение от ведущего отправителя; 5 узлов; top-отправитель 61%, top-получатель 32% внутреннего оборота; внутренние переводы 99% от связанных с группой; seed=0. Назначение неизвестно.",0.9933174846343912,0.6054724619351236,0.3195549104657597,8000.0
7,53,1,2993313.0,100000001899164100;100000002193259100;100000000831684100;100000004386258100;100000008443341100,"Гипотеза: смешанная сеть переводов; 53 узлов; top-отправитель 45%, top-получатель 9% внутреннего оборота; внутренние переводы 88% от связанных с группой; seed=1. Назначение неизвестно.",0.8783382533325094,0.4542067602018232,0.09040985690437318,414614.4
8,106,0,11794744.0,100000008603629100;100000001857829100;100000002723538100;100000003880331100;100000005048668100,"Гипотеза: смешанная сеть переводов; 106 узлов; top-отправитель 31%, top-получатель 8% внутреннего оборота; внутренние переводы 64% от связанных с группой; seed=0. Назначение неизвестно.",0.6394138017605051,0.30844382887835464,0.0771530098491328,6651439.0
9,6,1,1615030.0,100000008193577100;100000008736940100;100000008751429100;100000005456919100;100000008659445100,"Гипотеза: распределение от ведущего отправителя; 6 узлов; top-отправитель 54%, top-получатель 30% внутреннего оборота; внутренние переводы 100% от связанных с группой; seed=1. Назначение неизвестно.",1.0,0.541878479037541,0.29717714222026836,0
