rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.924299,Оборот 23986010 (+0.250); связей 104 (+0.195); seed 4 (+0.130); внешних групп 13 (+0.150); 1–2д 100% (+0.100); цикл +0.10
2,100000008603629100,coordinator,0.868602,Оборот 6803456 (+0.231); связей 80 (+0.184); seed 4 (+0.130); внешних групп 9 (+0.131); 1–2д 93% (+0.093); цикл +0.10
3,100000000437046100,coordinator,0.841333,Оборот 8713424 (+0.235); связей 51 (+0.165); seed 4 (+0.130); внешних групп 8 (+0.125); 1–2д 86% (+0.086); цикл +0.10
4,100000004400305100,coordinator,0.837352,Оборот 6052981 (+0.230); связей 89 (+0.188); seed 2 (+0.088); внешних групп 9 (+0.131); 1–2д 100% (+0.100); цикл +0.10
5,100000008346837100,coordinator,0.815719,Оборот 1513002 (+0.209); связей 34 (+0.149); seed 6 (+0.157); внешних групп 7 (+0.118); 1–2д 83% (+0.083); цикл +0.10
6,100000002957787100,distributor,0.815528,Оборот 1361110 (+0.208); связей 38 (+0.153); seed 4 (+0.130); внешних групп 8 (+0.125); 1–2д 100% (+0.100); цикл +0.10
7,100000003684369100,coordinator,0.814724,Оборот 12437091 (+0.240); связей 86 (+0.187); seed 6 (+0.157); внешних групп 9 (+0.131); 1–2д 90% (+0.000); цикл +0.10
8,100000008547948100,coordinator,0.787801,Оборот 5398265 (+0.228); связей 32 (+0.146); seed 3 (+0.112); внешних групп 5 (+0.102); 1–2д 100% (+0.100); цикл +0.10
9,100000003016635100,coordinator,0.783123,Оборот 10001062 (+0.237); связей 81 (+0.184); seed 3 (+0.112); внешних групп 13 (+0.150); 1–2д 90% (+0.000); цикл +0.10
10,100000008489922100,distributor,0.780559,Оборот 4051910 (+0.224); связей 39 (+0.154); seed 3 (+0.112); внешних групп 5 (+0.102); 1–2д 89% (+0.089); цикл +0.10
11,100000005933757100,distributor,0.780155,Оборот 4248628 (+0.225); связей 38 (+0.153); seed 2 (+0.088); внешних групп 9 (+0.131); 1–2д 83% (+0.083); цикл +0.10
12,100000006866783100,coordinator,0.771769,Оборот 4786849 (+0.226); связей 80 (+0.184); seed 3 (+0.112); внешних групп 13 (+0.150); 1–2д 100% (+0.000); цикл +0.10
13,100000005910114100,distributor,0.764833,Оборот 1796137 (+0.212); связей 22 (+0.131); seed 4 (+0.130); внешних групп 6 (+0.111); 1–2д 82% (+0.082); цикл +0.10
14,100000008304139100,distributor,0.763213,Оборот 1882327 (+0.213); связей 28 (+0.141); seed 2 (+0.088); внешних групп 9 (+0.131); 1–2д 90% (+0.090); цикл +0.10
15,100000004156082100,coordinator,0.752138,Оборот 2696922 (+0.218); связей 31 (+0.145); seed 4 (+0.130); внешних групп 3 (+0.079); 1–2д 81% (+0.081); цикл +0.10
16,100000008547844100,distributor,0.749256,Оборот 2219799 (+0.215); связей 22 (+0.131); seed 3 (+0.112); внешних групп 4 (+0.091); 1–2д 100% (+0.100); цикл +0.10
17,100000004351795100,distributor,0.746548,Оборот 1833494 (+0.212); связей 17 (+0.121); seed 3 (+0.112); внешних групп 5 (+0.102); 1–2д 100% (+0.100); цикл +0.10
18,100000008477350100,coordinator,0.741706,Оборот 3984966 (+0.224); связей 50 (+0.165); seed 3 (+0.112); внешних групп 4 (+0.091); 1–2д 51% (+0.051); цикл +0.10
19,100000004070318100,distributor,0.740228,Оборот 759107 (+0.199); связей 23 (+0.133); seed 2 (+0.088); внешних групп 8 (+0.125); 1–2д 95% (+0.095); цикл +0.10
20,100000005704413100,distributor,0.738701,Оборот 1461428 (+0.209); связей 35 (+0.150); seed 2 (+0.088); внешних групп 4 (+0.091); 1–2д 100% (+0.100); цикл +0.10
21,100000001857829100,coordinator,0.727919,Оборот 3279528 (+0.221); связей 22 (+0.131); seed 3 (+0.112); внешних групп 6 (+0.111); 1–2д 54% (+0.054); цикл +0.10
22,100000007442518100,coordinator,0.726753,Оборот 4929999 (+0.227); связей 14 (+0.113); seed 4 (+0.130); внешних групп 4 (+0.091); 1–2д 66% (+0.066); цикл +0.10
23,100000003242289100,distributor,0.719448,Оборот 2928532 (+0.219); связей 26 (+0.138); seed 3 (+0.112); внешних групп 4 (+0.091); 1–2д 59% (+0.059); цикл +0.10
24,100000007594394100,peripheral,0.718138,Оборот 3771697 (+0.223); связей 7 (+0.087); seed 4 (+0.130); внешних групп 3 (+0.079); 1–2д 100% (+0.100); цикл +0.10
25,100000005578559100,distributor,0.716503,Оборот 1024164 (+0.204); связей 23 (+0.133); seed 2 (+0.088); внешних групп 4 (+0.091); 1–2д 100% (+0.100); цикл +0.10
26,100000002723538100,distributor,0.712331,Оборот 666146 (+0.197); связей 15 (+0.116); seed 2 (+0.088); внешних групп 6 (+0.111); 1–2д 100% (+0.100); цикл +0.10
27,100000003115284100,consolidator,0.706235,Оборот 2677500 (+0.218); связей 10 (+0.100); seed 9 (+0.185); внешних групп 4 (+0.091); 1–2д 11% (+0.011); цикл +0.10
28,100000008413748100,distributor,0.70287,Оборот 1403800 (+0.208); связей 20 (+0.127); seed 2 (+0.088); внешних групп 3 (+0.079); 1–2д 100% (+0.100); цикл +0.10
